0;Sopa;Sopa de Espinafres com Cenoura;
0;Prato;;
0;Salada;Salada de Alface e Tomate c/Ananás;
0;Sobremesa;Fruta da época;
1;Sopa;Sopa de Carne com Batata;
1;Prato;Pato Pequim;
1;Salada;Salada de Alface e Tomate c/Ananás;
1;Sobremesa;Fruta da época;
2;Sopa;Juliana;
2;Prato;;
2;Salada;Salada Russa;
2;Sobremesa;Fruta da época;
3;Sopa;Sopa de Espinafres com Cenoura;
3;Prato;Sopa de Grão;
3;Salada;Salada Russa;
3;Sobremesa;Fruta da época;
4;Sopa;Juliana;
4;Prato;;
4;Salada;Salada Russa;
4;Sobremesa;Gelado de Limão;
